age,bodyssa,bodysss,clinssa,clinsss,disssa,dissss,gndssa,gndsss,headssa,headsss,height,kd,legssa,legsss,pas,reach,rev,ssa,sss,sub,tda,tds,tsa,tss,winner
0.797260274,-11,-5,0,0,-20,-10,0,0,-20,-12,-2,0,11,7,1,-7,1,-20,-10,1,0,0,-20,-10,0
-4.180821918,4,6,-1,3,-1,10,4,2,-11,-1,-2,0,9,10,0,1,0,2,15,0,0,0,8,21,0
1.290410959,5,5,3,0,18,23,15,9,30,23,0,0,1,4,1,0,1,36,32,-2,3,0,47,41,0
2.775342466,-5,-4,3,1,7,1,10,8,19,9,2,0,6,5,2,1,2,20,10,1,13,5,52,41,1
-5.060273973,-2,-1,-2,-1,-6,-1,13,8,10,10,-2,1,-3,-3,0,-1,0,5,6,0,-7,0,6,7,1
12.26027397,10,6,6,0,-70,-23,4,4,-81,-35,-1,0,11,10,0,-2,0,-60,-19,0,5,1,-115,-67,0
0.106849315,11,10,5,1,-8,35,0,-1,-13,26,0,0,-1,-1,0,-4,0,-3,35,0,-4,0,-1,37,0
-6.260273973,26,21,31,26,32,21,21,19,59,47,5,0,-1,-2,1,9,1,84,66,1,0,2,141,122,0
1.509589041,-8,-3,62,45,0,20,17,12,62,60,-3,1,25,20,1,0,1,79,77,0,12,2,238,212,0
-6.361643836,9,8,-6,-7,55,27,5,4,33,5,3,0,12,11,1,5,1,54,24,0,3,0,78,47,0
-5.945205479,-1,2,12,6,-32,5,7,4,-3,17,0,0,-9,-4,1,1,1,-13,15,2,-1,0,3,30,1
-6.589041096,6,5,5,2,53,38,1,1,77,60,1,0,-24,-24,3,0,3,59,41,0,1,4,53,33,1
-5.120547945,2,-2,-10,-9,11,6,11,7,-3,-1,-2,1,13,7,0,1,0,12,4,0,0,0,5,-3,0
-6.123287671,-7,-5,1,2,26,36,-14,-6,20,37,1,2,0,0,1,0,1,13,32,-2,-5,-2,6,27,0
4.265753425,5,6,0,7,-30,-14,10,10,-31,-9,-1,0,6,6,6,-1,6,-20,3,1,11,6,-18,3,0
-10.0109589,0,0,0,0,0,2,30,16,31,18,2,0,-1,0,4,0,4,30,18,1,1,1,38,26,0
2.81369863,3,2,3,2,-6,2,36,25,30,26,-1,0,0,1,0,-3,0,33,29,1,5,3,50,45,0
-12.43835616,-8,-4,3,2,7,-1,15,9,32,13,-1,0,1,1,0,-2,0,25,10,-2,10,2,83,62,1
-4.268493151,4,6,4,0,15,12,8,7,34,20,-1,0,-11,-7,1,-5,1,27,19,0,-10,0,33,24,1
-9.397260274,2,2,-2,0,-10,-2,11,7,-2,4,4,1,-1,-1,1,2,1,-1,5,0,0,0,-10,-2,1
3.443835616,-5,0,-6,-5,-13,-3,7,5,-10,-5,-3,0,3,2,3,2,3,-12,-3,-1,6,6,77,79,1
1.720547945,-1,0,10,5,2,2,29,15,54,34,-4,2,-12,-12,0,-3,0,41,22,0,-1,0,57,34,0
1.383561644,7,6,-4,-2,-20,0,57,30,33,25,-3,0,-7,-3,1,1,1,33,28,0,9,5,176,157,0
-5.810958904,0,1,8,8,-24,-6,0,0,-14,3,-1,0,-2,-2,0,-5,0,-16,2,1,-2,-1,-8,10,1
-5.561643836,24,15,-6,-6,-31,-1,0,0,-95,-52,4,1,34,30,0,-1,0,-37,-7,0,-1,0,-31,-1,0
2.84109589,-1,-1,1,2,-5,1,5,4,0,6,-2,1,2,2,0,1,0,1,7,0,2,0,9,15,0
-0.315068493,-4,-2,-5,-4,6,7,0,0,7,5,1,0,-2,0,2,4,2,1,3,1,-1,-1,-6,-4,0
-7.350684932,2,2,10,9,16,7,17,10,41,22,4,0,0,2,-2,0,-2,43,26,0,-6,-3,94,72,1
-2.539726027,14,10,19,11,28,13,64,44,109,68,4,0,-12,-10,7,6,7,111,68,-2,17,12,196,143,1
8.536986301,3,5,10,11,-18,-5,-1,2,-14,2,0,0,2,1,1,-3,1,-9,8,3,-1,-1,36,51,0
-1.539726027,1,-3,8,2,-15,-22,-8,-5,-2,-8,-1,0,-14,-14,-1,4,-1,-15,-25,0,9,7,31,4,0
-2.449315068,-40,-34,15,15,-38,-1,-3,-1,-22,15,1,0,36,32,0,-3,0,-26,13,0,-3,-1,-26,13,1
0.191780822,14,12,-7,-10,-37,50,15,9,-48,35,1,1,5,2,1,0,1,-29,49,0,7,2,5,82,1
-0.276712329,4,4,-5,-4,-2,0,5,4,-2,0,0,0,-4,-4,2,-2,2,-2,0,1,1,1,3,3,0
-6.419178082,-2,-4,-2,-3,-45,-2,22,19,-13,26,-1,2,-10,-8,4,2,4,-25,14,1,3,2,-7,33,0
